brand,property_name,city,room_type,academic_year,duration_weeks,price_per_week,price_formatted,available,thumbnail,instalment_name,start_date,end_date,base_hub_url,scraped_at
,Hilbre Gardens,Liverpool,Gold,2025 / 2026,51,105,£105.00,True,,Danny Test NEW - 25/26 - 05/09 - 51wk 2025,2025-09-05,2026-08-28,https://urban.hfs.bookings.basepms.com/?city=Liverpool&property=Hilbre+Gardens&roomType=Gold&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
,Hilbre Gardens,Liverpool,Silver,2026 / 2027,44,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/ZWjSZxGFjTQTlgyncMJ7iKlmLE3dS6v3VaI8U5gK.png,Hilbre Gardens - Silver - 26/27 - 06/09 - 44wk 2026,2026-09-06,2027-07-11,https://urban.hfs.bookings.basepms.com/?city=Liverpool&property=Hilbre+Gardens&roomType=Silver&tenancyLength=44+weeks&academicYear=2026+%2F+2027,05/06/2026 10:18
,Hilbre Gardens,Liverpool,Silver,2026 / 2027,51,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/ZWjSZxGFjTQTlgyncMJ7iKlmLE3dS6v3VaI8U5gK.png,Hilbre Gardens - Silver - 26/27 - 12/09 - 51wk 2026,2026-09-12,2027-09-04,https://urban.hfs.bookings.basepms.com/?city=Liverpool&property=Hilbre+Gardens&roomType=Silver&tenancyLength=51+weeks&academicYear=2026+%2F+2027,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Bronze Studio,2025 / 2026,44,139,£139.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/v10Exc2W8xL1BllNywf6pe62ppNspJNiOiAEZJ8N.png,Aire - Bronze Studio - 25/26 - 06/09 - 44wk 2025,2025-09-06,2026-07-11,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Bronze+Studio&tenancyLength=44+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Bronze Studio,2025 / 2026,51,135,£135.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/v10Exc2W8xL1BllNywf6pe62ppNspJNiOiAEZJ8N.png,Aire Bronze Stu - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Bronze+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Gold Plus Studio,2025 / 2026,51,185,£185.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nEvHeYwvaL4PLck2dsYCKmRReTlzg1EYygzGfgST.png,Aire - Gold Plus Studio - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Gold+Plus+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Gold Plus Studio,2025 / 2026,51,117.5,£117.50,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nEvHeYwvaL4PLck2dsYCKmRReTlzg1EYygzGfgST.png,DUAL OCC DW - AIRE - GPS - - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Gold+Plus+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Gold Studio,2025 / 2026,51,175,£175.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/pLljZshqHDBY7jmA9hs43VnHUUajSbUemyNt36Sm.png,Aire - Gold Studio - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Gold+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Gold Studio,2025 / 2026,51,165,£165.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/pLljZshqHDBY7jmA9hs43VnHUUajSbUemyNt36Sm.png,Aire - Gold Studio - 51wk - £165 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Gold+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,44,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,Aire - Silver Studio - 44wk - £140 - 25/26 - 06/09 - 44wk 2025,2025-09-06,2026-07-11,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=44+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,145,£145.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,Aire - Silver Studio - 51wk - £135 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,DW - DT - 140 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,162,£162.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,51wk £162 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,47.6,145,£145.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,DT RM 145 - 25/26 - 30/09 - 50wk RuM request 2025 - 2026,2025-09-30,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=47+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,130,£130.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,DW - DT - 130 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,RM - DT - AIRE - SS - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,RM - DT - 140 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Silver Studio,2025 / 2026,51,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nME1FdVOHN2UgEho0bgRgCfI0gcIRjpvu3qzN6fe.png,DW DT 140 - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Silver+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Standard Studio,2025 / 2026,44,135,£135.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/vtJOi02Gb04DCDOILCpDTLbisSQcSy6h2sKHqRDA.png,Aire - Standard Studio - 25/26 - 06/09 - 44wk 2025,2025-09-06,2026-07-11,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Standard+Studio&tenancyLength=44+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Standard Studio,2025 / 2026,51,130,£130.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/vtJOi02Gb04DCDOILCpDTLbisSQcSy6h2sKHqRDA.png,Aire - Standard Studio - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Standard+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Twodio,2025 / 2026,51,140,£140.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/GbSKuJ7SRkkTPVUVH4NOqITfXf8MicBRMokSLjIe.png,Aire - Twodio - 25/26 - 06/09 - 51wk 2025,2025-09-06,2026-08-29,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Twodio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Twodio,2025 / 2026,44,145,£145.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/GbSKuJ7SRkkTPVUVH4NOqITfXf8MicBRMokSLjIe.png,Twodio £145 - 25/26 - 06/09 - 44wk 2025,2025-09-06,2026-07-11,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Twodio&tenancyLength=44+weeks&academicYear=2025+%2F+2026,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Bronze Studio,2026 / 2027,44,185,£185.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/v10Exc2W8xL1BllNywf6pe62ppNspJNiOiAEZJ8N.png,Bronze Studio Aire 44 - 26/27 - 05/09 - 44wk 2026,2026-09-05,2027-07-10,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Bronze+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Bronze Studio,2026 / 2027,51,175,£175.00,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/v10Exc2W8xL1BllNywf6pe62ppNspJNiOiAEZJ8N.png,Bronze Studio Aire 51 - 26/27 - 05/09 - 51wk 2026,2026-09-05,2027-08-28,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Bronze+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,05/06/2026 10:18
Urban Student Life,Aire,Stoke-on-Trent,Gold Plus Studio,2026 / 2027,51,124.5,£124.50,True,https://raw.githubusercontent.com/shadybaby-hub/basepms-sync/main/images/nEvHeYwvaL4PLck2dsYCKmRReTlzg1EYygzGfgST.png,DUAL Gold Plus Studio - 124.50 - 26/27 - 05/09 - 51wk 2026,2026-09-05,2027-08-28,https://urban.hfs.bookings.basepms.com/?city=Stoke-on-Trent&property=Aire&roomType=Gold+Plus+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,05/06/2026 10:18
